STT	Tr¶ lêi	C©u Hái		B	C	D
326	A	Dông cô ®o th©n nhiÖt?	NhiÖt kÕ	Ap kÕ	Ampe kÕ	V«n kÕ
327	A	Eva ®­îc sinh ra tõ bé phËn nµo cña Adam?	X­¬ng s­ên	Sîi tãc	Ngãn tay	Ngãn ch©n
328	A	San h« lµ sinh vËt lo¹i nµo?	C¶ 2 ®Òu ®óng	Thùc vËt	§éng VËt	c¶ 2 ®Òu sai
329	A	Rång Komodo sèng ë ®©u?	Indonexia	Malaisia	Australia	Russia
330	A	T¾t ®Ìn lµ t¸c phÈm cña nhµ v¨n nµo?	Ng« TÊt tè	Vò Träng Phông	Nam Cao	Th¹ch Lam
331	A	Lùc hót ë mÆt Tr¨ng nhá gÊp bao nhiªu lÇn Tr¸i ®Êt?	6 lÇn	7 lÇn	8 lÇn	9 lÇn
332	A	Loµi C¸ nµo sèng kh«ng sèng ë biÓn?	Basa	C¸ Chim	C¸ Heo	C¸ Thu
333	A	Quèc Gia cã diÖn tÝch lín thø 2 trªn thÕ giíi?	Canada	Nga	Trung Quèc	Mü
334	A	Thµnh nhµ Hå lµ di tÝch ë tØnh nµo n­íc ta?	Thanh Hoa	NghÖ An	Hµ TÜnh	HuÕ
335	A	Tobicom lµ d­îc phÈm dïng ®Ó trÞ bÖnh g×?	§au m¾t	Giun s¸n	GhÎ	C¶m cóm
336	A	MÆt trêi ph¸t ra tia g× trong c¸c tia sau?	C¶ 2 ®Òu ®óng	Tö Ngo¹i	Hång Ngo¹i	C¶ 2 ®Òu sai
337	A	Tªn 1 chuyªn môc cña tuÇn b¸o Mùc TÝm?	V­ên hoang	Vui c­êi	T×m tõ	Ngé nghÜnh
338	A	§¹i d­¬ng nµo lín nhÊt?	Th¸i B×nh D­¬ng	§¹i T©y D­¬ng	Ên §é D­¬ng	B¾c B¨ng D­¬ng
339	A	PC lµ cã nghÜa g× trong tin häc?	M¸y tÝnh c¸ nh©n	Chuét	Bµn PhÝm	Mµn h×nh
340	A	Loµi vËt nµo kh«ng cã hµm r¨ng trªn?	Tr©u	Bß	Ngùa	Tª gi¸c
341	A	Vµo mïa nµo th× Tr¸i ®Êt gÇn mÆt trêi nhÊt?	H¹	Xu©n	Thu	§«ng
342	A	CÇu thñ ®­îc mÖnh danh lµ "Ng­êi ngoµi Hµnh tinh"	Ronaldo	Beckham	Zidane	Ronaldinho
343	A	CÇu thñ ®­îc vÝ lµ cã ch©n ph¶i khÐo nh­ bµn tay	Zidane	C.Ronaldo	Kaka	Raul
344	A	Loµi vËt kh«ng n»m trong 12 con gi¸p (ViÖt Nam)?	Thá	Chuét	Dª	Gµ
345	A	Ngän nói næi tiÕng NhËt B¶n?	Phó SÜ	Hµm Rång	Th¸i S¬n	Tam hîp
346	A	Nh·n hiÖu B¸nh ®Ëu xanh næi tiÕng?	Rång vµng	M & M	Chocopie	H¶i D­¬ng
347	A	Tªn gäi kh¸c cña hoa Trinh N÷?	M¾c cë	B»ng l¨ng	B¹ch lan	B¹ch n÷
348	A	Bøc tranh næi tiÕng cña Leonard de Vinci?	Lagiocongder	12 tÝn ®å	§avit	§øc mÑ Maria
349	A	Thuý KiÒu cã mÊy ng­êi em?	2 ng­êi	1 ng­êi	3 ng­êi	4 ng­êi
350	A	Danh hµi giµnh gi¶i nhÊt GALA C­êi 2003?	Xu©n B¾c	Thanh B¹ch	Ph¹m B»ng	Thóy Nga
351	A	Tªn cña con quû chuyªn hót m¸u?	Dracula	Bracula	Bracun	Dracun
352	A	Loµi c¸ duy nhÊt cã thÓ nh¸y m¾t?	C¸ MËp	C¸ ChÐp	C¸ Heo	C¸ Voi
353	A	TruyÖn tranh vÞt Donal bÞ cÊm t¹i n­íc nµo (v× c¸c nh©n vËt kh«ng mÆc quÇn)?	Hµ Lan	Ba Lan	PhÇn Lan	Thuþ §iÓn
354	A	C¬ b¾p m¹nh nhÊt trong c¬ thÓ con ng­êi lµ?	C¬ L­ìi	C¬ B¾p tay	C¬ b¾p ch©n	C¬ Bông
355	A	Ng­êi ®Çu tiªn ®Æt ch©n lªn mÆt Tr¨ng?	Neil Amtrong	Nila Amstrong	Narel Amstron	Nicolas Amstrong
356	A	Träng tµi næi tiÕng "l¹nh" nhÊt ThÕ giíi 2006?	Colina	Bolin	Doloun	Moliman
357	A	§¹o diÔn bé phim "ChiÕn tranh gi÷a c¸c v× sao"	George Lucas	Annba Willing	Sanchiego Mann	Mc Donal
358	A	§éi tuyÓn nµo ®­îc mÖnh danh lµ "C¬n lèc mµu da cam"?	Hµ Lan	Italia	Ba Lan	Thuþ §iÓn
359	A	Ng­êi ®Çu tiªn ®o¹t gi¶i Olympia?	TrÇn Ngäc Minh	Lª KiÒu Giang	Bïi Quang B×nh	NguyÔn Thµnh Vinh
360	A	ChÊt khÝ th­êng dïng ®Ó b¬m vµo bÓ b¬i ®Ó diÖt khuÈn?	Clo	Oxy	Flo	Hydro
361	A	B¸o gÊm ch¹y víi vËn tèc bao nhiªu?	60 dÆm-1h	40 dÆm-1h	50 dÆm-1h	70 dÆm-1h
362	A	Loµi vËt cã tèc ®é di chuyÓn nhanh nhÊt ThÕ giíi?	Chim ¦ng	B¸o gÊm	Sãc	Bå C©u
363	A	Tªn cña nh©n vËt ®iÖp viªn 007 trong phim "§iÖp Viªn 007"?	James Bond	James Bound	Janes Bond	Janes Bound
364	A	ViÖt Nam kh¸ng chiÕn chèng Mü trong bao nhiªu n¨m?	21 n¨m	19 n¨m	20 n¨m	22 n¨m
365	A	Ng­êi ®ãng thÕ trong c¸c pha m¹o hiÓm trong phim gäi lµ g×?	Cascader	Bandanger	Qwerty	Dangerous Hero
366	A	S«ng NhËt LÖ thuéc ®Þa phËn tØnh nµo?	Qu¶ng B×nh	Cµ Mau	B×nh §Þnh	Ninh B×nh
367	A	Jackie Chan lµ tªn tiÕng Anh cña diÔn viªn ®iÖn ¶nh nµo?	Thµnh Long	Ch©u Tinh Tr×	Lý TiÓu Long	Lý Liªn KiÖt
368	A	TiÕng Anh vµ tiÕng Ph¸p cã nguån gèc tõ?	TiÕng §øc	TiÕng Hy L¹p	TiÕng T©y Ban Nha	TiÕng Bå §µo Nha
369	A	Cuèn s¸ch khoa häc vËt lý næi tiÕng 1987 "L­îc sö thêi gian" do nhµ khoa häc nµo viÕt?	Stephen Hawking	Anbe Einstein	George Ellis	Roger Penrose
370	A	Nicolas Copecnic, ng­êi ph¶n b¸c "Tr¸i ®Êt lµ trung t©m vò trô" lµ ng­êi n­íc nµo?	Ba Lan	Hµ Lan	Hy L¹p	§øc
371	A	Nh¾c ®Õn Issac Newton ng­êi ta th­êng nghÜ ®Õn tr¸i c©y nµo?	T¸o	Chuèi	MÝt	D­a chuét
372	A	Theo quan ®iÓm duy t©m th× VËt ChÊt hay ý Thøc cã tr­íc?	ý thøc	VËt chÊt	C¶ hai 1 lóc	Kh«ng x¸c ®Þnh
373	A	Tæ chøc ASEAN thµnh lËp vµo n¨m nµo?	1967	1957	1977	1978
374	A	Ai lµ ng­êi ®Çu tiªn ph¸t hiÖn: ¸nh s¸ng cã vËn tèc h÷u h¹n?	Christensen Roeme	Issac Newton	Anbe Einstein	Galileo
375	A	Trong c¸c tia sau ®©y, tia nµo cã b­íc sãng ng¾n nhÊt?	Tia Gamma	Tia Hång ngo¹i	Tia Tö Ngo¹i	Tia X
376	A	Con g× sÏ ho¸ thµnh muçi khi tr­ëng thµnh?	L¨ng Qu¨ng	Nßng Näc	Gißi	Nhéng
377	A	VÞ thÇn cai qu¶n biÓn, s«ng theo thÇn tho¹i Trung Hoa gäi lµ g×?	Long v­¬ng	H¶i v­¬ng	Thuû v­¬ng	Hµ v­¬ng
378	A	Quèc gia nµo kh«ng thuéc b¸n ®¶o §«ng D­¬ng?	Th¸i Lan	Lµo	Campuchia	ViÖt Nam
379	A	Nhµ tiªn tri víi nh÷ng c©u sÊm truyÒn linh nghiÖm?	Nostradamus	Arixtot	Galileo	Imhotep
380	A	TËp ®oµn kh«ng kinh doanh §iÖn Tho¹i Di §éng?	Toyota	Motorola	Siemen	Sony
381	A	Thñ ®« NhËt B¶n x­a kia tªn gäi lµ g×?	Edo	Osaka	Hiroshima	Nagasaki
382	A	Bøc ho¹ Monalisa cña Leonard de Vinci cã tªn gäi kh¸c lµ g×?	La Giocongder	Christina	Christina	Marry Anna
383	A	Ca khóc "T×nh cê" do nh¹c sÜ nµo s¸ng t¸c?	§iÖp Minh TuyÒn	Hoµi An	TrÞnh C«ng S¬n	Ngäc S¬n
384	A	VÞ t­íng ®· ph¸ qu©n M«ng Cæ ë Hµm Tö Quan	TrÇn NhËt DuËt	TrÇn Quang Kh¶i	TrÇn Quèc TuÊn	TrÇn Quèc To¶n
385	A	Tªn mét bøc tranh d©n gian cã 12 con chuét?	§¸m c­íi chuét	§¸m ma chuét	§¸m dç chuét	Gia ®×nh chuét
386	A	Ai ®· nãi c©u: "Ta thµ lµm ma n­íc Nam, cßn h¬n lµm v­¬ng ®Êt B¾c"?	TrÇn B×nh Träng	TrÇn Quèc To¶n	TrÇn NhËt DuËt	TrÇn Quèc TuÊn
387	A	Chïa mét cét ®­îc x©y dùng d­íi thêi nµo?	Lý	TrÇn	Lª	NguyÔn
388	A	B×nh Ng« §¹i C¸o do ai s¸ng t¸c?	NguyÔn Tr·i	NguyÔn BØnh Khiªm	NguyÔn KhuyÕn	NguyÔn Anh
389	A	Quèc Gia næi tiÕng vÒ trång Hoa Hång?	Bungary	Hungary	Hµ Lan	Ba Lan
390	A	Thµnh phè lín nhÊt ë miÒn t©y Canada lµ g×?	Vancouver	Canada	Copec	Monaco
391	A	N¨m 939 trªn s«ng B¹ch §»ng, Ng« QuyÒn ®¸nh tan qu©n giÆc nµo?	Nam H¸n	Nguyªn M«ng	Thanh	Minh
392	A	Ai t×m ra Penecilline?	Fleming	§acUyn	Paster	T«n ThÊt B¸ch
393	A	T¸c gi¶ bµi h¸t "Anh Ba H­ng"?	TrÇn KiÕt T­êng	Phan Huúnh §iÓu	Y V©n	H÷u Minh
394	A	Bé §Þa chÝ ®Çu tiªn cña Sµi Gßn x­a?	Gia §Þnh Thµnh §«ng ChÝ	Gia §Þnh Phñ ChÝ	Gia §Þnh D­ §Þa ChÝ	Gia §Þnh NhÊt Thèng
395	A	V¨n hµo ng­êi Anh, t¸c gi¶ "TiÕng gäi n¬i hoang d·"?	Jack London	Conan Doyle	J.K Rolling	Charle Dicken
396	A	Senegal n»m ë vïng nµo cña Ch©u Phi?	B¾c Phi	Trung Phi	Nam Phi	Madagasca
397	A	Mét Ca khóc næi tiÕng cña Michael Jackson?	Heal the world	Coco Jamboo	Baby one more time	25 minutes
398	A	Con s«ng dµi nhÊt thÕ giíi?	Nil	Hoµng Hµ	Mª K«ng	Amazon
399	A	UN lµ tªn viÕt t¾t cña tæ chøc nµo?	Liªn HiÖp Quèc	Liªn §oµn	Liªn HiÖp Phô N÷	Nh©n §¹o
400	A	Ngµy lÔ t×nh yªu?	Ngµy 14-02	Ngµy 12-04	Ngµy 22-04	Ngµy 24-02
401	A	Hoµng ®Õ cuèi cïng cña ViÖt Nam?	B¶o §¹i	Ng« §×nh DiÖm	Hµm Nghi	Quang Trung
402	A	Bøc tranh Portrait of Dr.Gauchet cña Van Gogh ®­îc s¸ng t¸c n¨m nµo?	N¨m 1890	N¨m 1860	N¨m 1870	N¨m 1880
403	A	DiÔn viªn chÝnh trong bé phim T©y Du ký cña Ng« Thõa ¢n?	Lôc TiÓu Linh §ång	T«n Ngé Kh«ng	L­u §øc Hoa	L­u Hy
404	A	Ngän nói Sapa thuéc d·y nói nµo?	Hoµng Liªn S¬n	Phan Xi P¨ng	Tr­êng S¬n ®«ng	Tr­êng S¬n t©y
405	A	Ca khóc g¾n liÒn víi bé phim "Love Story" do Andy Williams s¸ng t¸c?	Where do I begin	Who do You love	Love Story	My honey
406	A	Kh¸ch s¹n ®­îc x©y dùng sím nhÊt ë Sµi Gßn thêi Ph¸p thuéc, hiÖn nay tªn g×?	Continental	H¶i Ch©u	Je'taime	§×nh Nhu
407	A	ThÇy tro §­êng T¨ng cã bao nhiªu thµnh viªn?	5	3	4	6
408	A	1 b¶ng Anh (pound) cã bao nhiªu xu (penny)?	100	10	500	1000
409	A	0 ®é C (Celcius) t­¬ng øng bao nhiªu ®é F (Fahrenheit)?	273	32	80	100
410	A	Tr­êng §¹i häc nµo kh«ng ph¶i ë Mü?	Cambridge	Ivy League	Harvard	Princeton
411	A	D¶i tÇn sè nµo cã tÇn sè cao nhÊt trong c¸c d¶i tÇn sau?	EHF	SHF	UHF	VHF
412	A	§©y kh«ng ph¶i lµ ng«n ng÷ lËp tr×nh?	D	C	Java	Visual Basic
413	A	Kh¸i niÖm nµo kh¸c nhÊt so víi mÊy kh¸i niÖm kh¸c?	Tù nhiªn	TriÕt häc	T©m lý	Vò khÝ
414	A	§Ëp thñy ®iÖn lín nhÊt thÕ giíi, Three Gorges, ë quèc gia nµo?	Trung Quèc	NhËt B¶n	An §é	Bhutan
415	A	VËn tèc cña ©m thanh?	1000 km-h	100 km-h	560 km-h	3200 km-h
416	A	§iÒn vµo d·y sau: A,D,G,J,...	L	M	B	C
417	A	TuÊn cao h¬n Nam, B×nh thÊp h¬n TuÊn. C©u nµo d­íi ®©y lµ ®óng nhÊt?	Ch­a ch¾c	B×nh = Nam	B×nh > Nam	B×nh < Nam
418	A	Sè tiÕp theo cña d·y: 19, 28, 37, 46, ... lµ sè nµo?	55	67	57	54
419	A	1 tê b¸o gi¶m gi¸ 20%, cÇn ph¶i t¨ng mÊy% ®Ó cã gi¸ nh­ cò?	25%	20%	50%	75%
420	A	Gang lµ hîp chÊt cña S¾t vµ 1 l­îng nhá chÊt g×?	Cacbon	Nh«m	§ång	B¹c
421	A	Ng­êi giµu nhÊt ThÕ giíi 2006-2007 lµ ai?	Bill Gates	Bush	Bin Laden	Ambramovic
422	A	Nhµ th¬ Tago lµ ng­êi n­íc nµo?	An §é	Anh	Ai CËp	Hy L¹p
423	A	N­íc m¾m ®­îc chiÕt suÊt tõ loµi ®éng vËt nµo?	C¸	T«m	Cua	Oc
424	A	Trang phôc truyÒn thèng cña NhËt B¶n?	Kimono	Ao Dµi	Kimoana	Mimono
425	A	Loµi hoa nµo th­êng ®­îc ­íp cïng Trµ Xanh?	Nhµi	Hång	Lan	Hµi
426	A	Tæ s­ cña m«n vâ ThiÕu L©m ngµy nay?	§¹t Ma	PhËt Tæ	Tr­¬ng Tam Phong	Lý TiÓu Long
427	A	Ng«n ng÷ nµo ®­îc nhiÒu ng­êi dïng nhÊt trªn thÕ giíi?	Trung Quèc	Anh	Ph¸p	T©y Ban Nha
428	A	Quèc gia cã diÖn tÝch nhá nhÊt?	Vatican	Monaco	Nauru	Tuvalu
429	A	VÞ t­íng muèn chinh ph¹t c¶ Ch©u ¢u?	Napoleon	Hitle	Pharaon	Thµnh C¸c T­ h·n
430	A	Copernicus næi tiÕng trong lÜnh vùc nµo?	Thiªn v¨n häc	Héi Häa	V¨n Häc	¢m nh¹c
431	A	Sè tiÕp theo 1, 1, 2, 3, 5, ...?	8	6	7	9
432	A	ký hiÖu hãa häc cña Vµng lµ g×?	Au	Ar	Al	Ag
433	A	Theo thÇn tho¹i Hy L¹p, Saturn lµ tªn vÞ thÇn nµo?	ThÇn n«ng	ThÇn søc m¹nh	ThÇn t×nh ¸i	ThÇn BiÓn c¶
434	A	Sao Thiªn V­¬ng quay quanh mÆt trêi mÊt trong bao l©u?	84 n¨m	84 giê	84 ngµy	84 th¸ng
435	A	B¹ch §»ng Giang Phó lµ bµi th¬ do ai s¸ng t¸c?	Tr­¬ng H¸n Siªu	TrÇn Quèc TuÊn	Ng« Sü Liªn	NguyÔn Du
436	A	§iÒn sè tiÕp theo trong d·y: 144, 121, 100, 81, 64, ...?	49	36	25	55
437	A	Ng­êi ta th­êng nãi: "xa mÆt c¸ch ..."?	Lßng	T×nh	Xa	BiÖt
438	A	Bµi kiÓm tra IQ hoµn thiÖn ®Çu tiªn trªn thÕ giíi do ai ph¸t triÓn?	Alfred Binet	Lewis Terman	David Wechsler	William Stern
439	A	ChØ sè IQ cña 1 ®øa bÐ ®­îc nhËn lµm con nu«i cã thÓ dù ®o¸n ®­îc dùa vµo?	Bè mÑ ruét	Tæ tiªn	Bè mÑ nu«i	¤ng bµ
440	A	YÕu tè di truyÒn quyÕt ®Þnh bao nhiªu phÇn tr¨m sù th«ng minh?	50%	0%	25%	100%
441	A	Nhµ m¸y läc dÇu Dung QuÊt ®­îc x©y dùng ë tØnh nµo?	Qu¶ng Ng·i	Qu¶ng Nam	Vòng Tµu	H¶i Phßng
442	A	B¸c T«n §øc Th¾ng sinh vµo n¨m nµo?	1888	1878	1898	1908
443	A	IMO lµ kú thi quèc tÕ tæ chøc lÇn ®Çu tiªn t¹i VN 2007, m«n thi lµ?	To¸n häc	VËt Lý	Hãa häc	Tin Häc
444	A	CÇu thñ giµnh ®­îc danh hiÖu chiÕc giµy vµng ch©u ¢u 2007?	Francesco Totti	Fernando Torres	Ronaldinho	Beckham
445	A	Federer lµ vËn ®éng viªn 3 lÇn liªn tiÕp nhËn gi¶i Laureus ch¬i m«n thÓ thao nµo?	QuÇn vît	Bãng bµn	CÇu l«ng	Bãng ®¸
446	A	C¸i g× cã thÓ c¾t ®­îc kim c­¬ng?	Kim c­¬ng	S¾t	Vµng	Kh«ng cã
447	A	GÊu tr¾ng vµ Voi biÓn sèng ë ®©u?	B¾c cùc	Senegal	Nam cùc	§«ng Nam ¸
448	A	ChuyÕn bay ®Çu tiªn cña con ng­êi vµo vò trô tiÕn hµnh vµo n¨m nµo?	1961	1959	1960	1962
449	A	Nguyªn tè cã sè thø tù lµ 2 trong b¶ng hÖ thèng tuÇn hoµn cña Mendelep?	He	Li	Ar	Bo
450	A	T¸c gi¶ bµi th¬ "Bªn kia s«ng §uèng"?	Hoµng CÇm	Ph¹m TiÕn DuËt	Hå Xu©n H­¬ng	Th¹ch Lam
451	A	Sè nµo kh«ng hîp quy luËt trong d·y sau: 9 7 8 6 7 5 6 3?	3	5	8	9
452	A	Nhµ hµng h¶i vÜ ®¹i Fernando Magienlang (1480-1521) lµ ng­êi n­íc nµo?	Bå §µo Nha	T©y Ban Nha	Hµ Lan	Anh
453	A	§¹i d­¬ng nµo nhá nhÊt trªn thÕ giíi?	B¾c B¨ng D­¬ng	Th¸i B×nh D­¬ng	§¹i T©y D­¬ng	Ên §é D­¬ng
454	A	Hæ Ph¸ch theo tiÕng Hy L¹p lµ g×?	Electron	Proton	Notron	Gamma
455	A	Thñ ®« nµo ë ch©u ¢u n»m trªn 96 hßn ®¶o, ®­îc nèi víi nhau b»ng nh÷ng chiÕc cÇu?	Amstecdam (Hµ Lan)	London (Anh)	Paris (Ph¸p)	Stockhom (Thuþ §iÓn)
456	A	N÷ thÇn Athena, 1 trong 12 vÞ thÇn cña ®Ønh Olympus, ®¹i diÖn cho ®iÒu g×?	TrÝ tuÖ	S¾c ®Ñp	T×nh yªu	Lßng nh©n tõ
457	A	Danh häa më ®Çu tr­êng ph¸i lËp thÓ cña héi häa ®Çu thÕ kû XX?	Picasso	Vangog	Leonard de Vinci	Bandac
458	A	Gi¶i Nobel v¨n ch­¬ng ®­îc b¾t ®Çu trao vµo n¨m nµo?	1901	1900	1902	1903
459	A	Ai lµ ng­êi s¸ng lËp ra m«n Vi sinh vËt häc?	Luis Pauster	Flemming	Dack Uyn	Moocgan
460	A	Moocgan sö dông loµi vËt nµo ®Ó nghiªn cøu di truyÒn häc?	Ruåi giÊm	MÌo	Chuét b¹ch	Giun
461	A	Khi ®Õn t©m tr¸i ®Êt, träng l­îng cña mét qu¶ c©n 10kg b»ng bao nhiªu?	0 Kg	10Kg	9,8Kg	0,98 Kg
462	A	Lý Nam §Õ (Lý BÝ) thµnh lËp nhµ n­íc d©n téc ®éc lËp ë gi÷a thêi B¾c thuéc mang tªn?	V¹n xu©n	§¹i Cå ViÖt	ViÖt Nam	§¹i ViÖt
463	A	C«ng thøc næi tiÕng E=mc2 lµ cña ai?	Einstein	Huc	Pascal	Herry
464	A	VËn ®éng viªn Marathon ngµy nay cÇn ch¹y bao nhiªu dÆm ®Ó ®Õn ®­îc ®Ých?	26	13	39	41
465	A	Hµnh tinh mang tªn Jupiter - vÞ thÇn kháe nhÊt trong thÇn tho¹i Hy L¹p cã tªn tiÕng ViÖt lµ?	Méc tinh	Háa tinh	Thñy tinh	Thæ tinh
466	A	4 loµi c¸ Trong bµi th¬ §oµn thuyÒn ®¸nh c¸ cña Huy CËn lµ: Chim,Thu, Nhô, vµ...?	C¸ §Ð	C¸ Nãc	C¸ Håi	C¸ Heo
467	A	Danh hiÖu thñ ®« v¨n hãa cña ch©u ¢u 1999 ®­îc trao cho thµnh phè nµo?	Vaima	London	Paris	Bern
468	A	Chïa mét cét ®­îc x©y n¨m 1409 cßn cã tªn gäi lµ g×?	Diªn Hùu	B¶o Liªn	Tr­êng Sinh	PhËt Sen
469	A	Sao Thñy cã tªn cña mét vÞ thÇn ch¹y nhanh nhÊt trong thÇn tho¹i Hy L¹p nµo?	Mercury	Jupiter	Neptune	Mars
470	A	ë ch©u ¢u, ng­êi ta ®Æt tªn cho th¸ng 1 lµ January, ®©y lµ tªn vÞ thÇn nµo?	ThÇn chiÕn tranh	ThÇn thêi gian	ThÇn t×nh ¸i	ThÇn biÓn c¶
471	A	NguyÔn Kh¾c HiÕu (8-5-1889) lµ tªn thËt cña nhµ th¬ nµo?	T¶n §µ	NguyÔn §×nh ChiÓu	Tè H÷u	Tó X­¬ng
472	A	Johannes Gutenberg ®· ph¸t minh ra c¸i g× gióp cho thêi kú Phôc H­ng ph¸t triÓn m¹nh mÏ?	M¸y In	M¸y h¬i n­íc	M¸y dÖt	M¸y tÝnh
473	A	Ng« QuyÒn cã quan hÖ g× víi D­¬ng §×nh NghÖ?	Con rÓ	Con	Ch¸u	B¹n
474	A	Loµi vËt nµo th­êng ®­îc dïng ®Ó vËn chuyÓn hµng hãa ë Th¸i Lan?	Voi	Tr©u	Bß	Ngùa
475	A	Ai tù x­ng m×nh lµ HËu Lý Nam §Õ?	Lý PhËt Tö	Lý Chiªu Hoµng	Lý C«ng UÈn	Lý BÝ
476	A	§Êt VÞ Hoµng lµ ®Þa danh thuéc tØnh nµo?	Nam §Þnh	Thanh Hãa	NghÖ An	Phó Thä
477	A	Sè d©n ViÖt Nam ®øng thø mÊy §«ng Nam ¸?	2	1	3	4
478	A	Quª gèc cña Lý Th­êng KiÖt lµ vïng ®Êt nµo?	Th¨ng Long	Hång Ch©u	Kinh B¾c	ThuËn Hãa
479	A	Sao Háa cã bao nhiªu vÖ tinh tù nhiªn?	2	1	3	4
480	A	Bµi th¬ nµo kh«ng n»m trong chïm th¬ mïa thu cña NguyÔn KhuyÕn?	Thu ngÉm	Thu Èm	Thu vÞnh	Thu ®iÕu
481	A	Hµ Lan vµ §an M¹ch lµ 2 quèc gia cã ®Þa h×nh 100% lµ g×?	§ång B»ng	BiÓn	§åi Nói	B¨ng tuyÕt
482	A	ViÖt Nam lÇn ®Çu tiªn tham dù k× thi Olympic To¸n quèc tÕ vµo n¨m nµo?	1974	1972	1973	1975
483	A	V¹n Th¾ng V­¬ng lµ biÖt hiÖu cña ai?	§inh Bé LÜnh	TrÇn H­ng §¹o	Quang Trung	Ng« QuyÒn
484	A	Thµnh phÇn chÝnh cÊu t¹o thµnh tÕ bµo nÊm lµ g×?	Kitin	Bµo tö	Mannan	Cutin
485	A	Ai lµ ng­êi ®Çu tiªn sö dông thuËt ng÷ "PhÐp chia vµng"?	Leonard de Vinci	Pithagor	Euclid	Fibonacci
486	A	Tªn 2 ng«i sao s¸ng nhÊt cña chßm Tr¸ng sÜ (Orion)?	Rigel - Betelgeuse	Dened - Vega	Rigel - Procyon	Vega - Betelguese
487	A	Bµi th¬ ®¨ng b¸o ®Çu tiªn cña NguyÔn BÝnh?	C« h¸i m¬	T­¬ng T­	C« l¸i ®ß	C« hµng xãm
488	A	Tån t¹i hay kh«ng tån t¹i lµ c©u nãi næi tiÕng cña nh©n vËt nµo?	Hamlet	Claudius	The ghost	Laertes
489	A	Ng­êi l·nh ®¹o phong trµo B×nh Xuyªn trong kh¸ng chiÕn chèng Ph¸p?	D­¬ng V¨n D­¬ng	Hå Tïng MËu	T¨ng B¹t Hæ	Ph¹m Hång Th¸i
490	A	Ai lµ thñ t­íng ®Çu tiªn cña Singapore?	Lý Quang DiÖu	L­u §øc Hoa	Tèng Hång Qu©n	ThÝch Phi Long
491	A	Thñ ®« Jakarta n»m trªn hßn ®¶o nµo cña Indonesia?	Java	Indo	Karti	Nesia
492	A	Machu Pichu lµ tªn mét di tÝch lÞch sö ë quèc gia nµo ngµy nay?	Peru	Bolivia	Ecuador	Colombia
493	A	Sè l­îng cöa s«ng TiÒn vµ s«ng HËu lÇn l­ît lµ?	6,3	4,5	5,4	3,6
494	A	Ng­êi ViÖt Nam ®­îc phong hµm t­íng cña c¶ 2 quèc gia VN vµ Trung Quèc?	NguyÔn S¬n	NguyÔn B×nh	Vâ Nguyªn Gi¸p	V¨n TiÕn Dòng
495	A	Thµnh phè nµo ®­îc mÖnh danh lµ Paris cña ph­¬ng ®«ng?	Th­îng H¶i	Sµi Gßn	Hong Kong	Bangkok
496	A	Nguyªn thñ quèc gia nµo ®Çu tiªn ®Õn th¨m ViÖt Nam sau CMT8 thµnh c«ng?	Ên §é	Liªn X«	Cuba	Trung Quèc
497	A	Hä tªn thËt cña nh©n vËt Tho¹i Ngäc HÇu?	NguyÔn V¨n Tho¹i	TrÇn V¨n Thµnh	Vâ Duy D­¬ng	NguyÔn TÊn KiÒu
498	A	Quª gèc cña tæng ®èc Hoµng DiÖu?	Qu¶ng Nam	Qu¶ng B×nh	Thõa Thiªn HuÕ	Hµ Néi
499	A	Vïng c«ng nghiÖp lín nhÊt n­íc §øc cã tªn lµ g×?	Ruhr	Bavaria	Brandenburg	Saxony
500	A	S«ng nµo dµi thø 3 ë ch©u ¢u?	Rhine	Volga	Danube	Thames
501	A	Vµo n¨m nµo Mü vµ Liªn X« tuyªn bè chÊm døt chiÕn tranh l¹nh?	1989	1986	1987	1988
502	A	Asuncion lµ thñ ®« cña n­íc nµo?	Paraquay	Uruguay	Nepal	Trung phi
503	A	§¶o nµo cña Indonesia kh«ng cã ®­êng XÝch §¹o ch¹y qua?	Java	Kalimantan	Sulawesi	Sumatra
504	A	§¹i héi anh hïng chiÕn sü thi ®ua toµn qu©n lÇn thø nhÊt diÔn ra vµo n¨m nµo?	1951	1950	1952	1953
505	A	VËt nµo kh«ng n»m trong "An Nam tø ®¹i khÝ" cña ViÖt Nam?	Chïa mét cét	Th¸p B¸o Thiªn	Chu«ng Quy §iÒn	V¹c Phæ Minh
506	A	N¨m 79 sau CN, ngän nói löa nµo ®· phun trµo vµ ch«n vïi thµnh phè Pompei ë Italia?	Vesuvius	Handica	Mologne	Ertona
507	A	Liªn hoan phim Cannes th­êng ®­îc tæ chøc vµo th¸ng nµo trong n¨m?	Th¸ng 5	Th¸ng 1	Th¸ng 8	Th¸ng 12
508	A	HiÖp héi WGAE vµ WGAW ®· b×nh chän bé phim nµo lµ cã kÞch b¶n hay nhÊt mäi thêi ®¹i?	Casablanca	Citizen Kane	God Father	Titanic
509	A	ChØ sè khoa häc BMI dïng ®Ó ®¸nh gi¸ c¸i g× ë con ng­êi?	Sù c©n ®èi	ChiÒu cao	C©n nÆng	TÝnh t×nh
510	A	KÕt qu¶ cña phÐp tÝnh: 1000 x 1000 x 1000 =?	1 Tû	1 V¹n	1 TriÖu	1 Ngh×n Tû
